,Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population_x, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Continent,Least Developed,Life Expectancy,Population_y,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,Military expenditure,People practicing open defecation,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita
64,Armenia,2015,Developing,74.8,118.0,1,,0.0,94.0,33,54.9,1,96.0,,94.0,0.1,369.654776,291695.0,2.1,2.2,0.741,12.7,Asia,False,74.467,2925559,1.825292244,10.11763382,1961.610395,11.57428872,9969.664854,59.10083377,4.239225786,0.011358461,99.5525667,20.2,0.49
65,Armenia,2014,Developing,74.6,12.0,1,3.91,295.6087143,93.0,13,54.1,1,95.0,4.48,93.0,0.1,3994.712355,29622.0,2.1,2.1,0.739,12.7,Asia,False,74.273,2912403,1.881607737,10.17827034,1931.258117,11.58159466,10036.88984,54.62280586,3.943378265,0.013632583,99.44055835,19.6,0.52
66,Armenia,2013,Developing,74.4,123.0,1,3.79,279.4290812,95.0,10,53.3,1,96.0,4.55,95.0,0.1,3843.591213,289359.0,2.1,2.1,0.736,12.7,Asia,False,74.056,2897593,1.89812717,10.32344532,1892.006869,11.5889006,9835.802461,41.9,3.997244557,0.019181538,99.14571586,19.0,0.43
67,Armenia,2012,Developing,74.4,121.0,1,3.89,274.1526986,95.0,0,52.6,1,96.0,4.48,95.0,0.1,3684.8481,2881922.0,2.0,2.1,0.732,12.7,Asia,False,73.82,2884239,1.983192027,9.134552,1807.034572,11.59620653,9364.375299,37.5,3.583766919,0.024735834,98.82807295,18.5,0.25
68,Armenia,2011,Developing,73.9,128.0,1,4.09,260.9963826,95.0,0,51.9,1,96.0,3.71,95.0,0.1,3526.978143,2875581.0,2.0,2.1,0.729,12.7,Asia,False,73.572,2876536,1.71734338,9.37587833,1726.262758,11.60351247,8025.458485,32.0,3.853946441,0.030301184,98.51312626,17.9,0.34
69,Armenia,2010,Developing,73.5,132.0,1,4.23,224.3212014,94.0,2,51.2,1,96.0,4.56,94.0,0.1,3218.381655,2877311.0,2.0,2.1,0.72,12.3,Asia,False,73.331,2877314,1.508351244,9.23539066,1661.303268,11.61081841,7507.144766,25.0,4.265646056,0.035882412,98.2004766,17.5,0.4
70,Armenia,2009,Developing,73.3,137.0,1,3.96,201.1855461,93.0,0,5.7,1,94.0,4.55,93.0,0.1,2993.832531,2888584.0,2.0,2.1,0.725,11.9,Asia,False,73.118,2888094,1.561583601,8.44377995,1669.409464,11.61812434,7231.220897,15.3,4.157049908,0.041479516,97.89011617,17.0,0.32738
71,Armenia,2008,Developing,73.2,14.0,1,3.96,2.8888979,89.0,0,5.1,1,91.0,3.8,89.0,0.1,41.26997,29822.0,2.0,2.1,0.721,12.3,Asia,False,72.946,2907615,1.956930356,6.6397624,1773.161496,11.62543028,8308.414216,6.21,3.395579363,0.047092496,97.58203679,16.7,0.41888
72,Armenia,2007,Developing,73.5,132.0,1,3.99,44.57219966,85.0,1,49.7,1,9.0,4.31,88.0,0.1,3138.8873,293356.0,2.0,2.1,0.707,11.7,Asia,False,72.815,2932615,1.773161431,5.49814558,1639.79257,11.63273621,7560.868364,6.021253397,3.042574701,0.052721077,97.27617604,16.3,0.38343
73,Armenia,2006,Developing,72.9,141.0,1,4.01,244.5352767,78.0,137,49.2,1,87.0,4.58,87.0,0.1,2158.299,29585.0,2.0,2.1,0.692,11.2,Asia,False,72.716,2958301,1.51776299,5.85007095,1521.50331,11.64004215,6418.636417,5.631787777,2.947613156,0.058365731,96.97262891,16.0,0.36122
74,Armenia,2005,Developing,73.0,137.0,1,4.25,20.21822828,91.0,2281,48.8,1,92.0,5.25,9.0,0.1,1643.758397,2981259.0,2.0,2.1,0.679,10.9,Asia,False,72.626,2981262,1.496010763,5.86188269,1440.32339,11.64734809,5458.089259,5.252983352,2.871931363,0.064025825,96.67127128,15.7,0.27547
75,Armenia,2004,Developing,73.0,132.0,1,3.81,97.74087744,91.0,1783,48.4,1,93.0,5.5,91.0,0.1,1191.96192,3612.0,2.0,2.1,0.668,10.9,Asia,False,72.513,3000715,1.25303469,6.05508518,1320.437994,11.65465402,4616.180285,4.899008571,2.741996705,0.069702155,96.3722248,15.4,0.21848
76,Armenia,2003,Developing,72.7,134.0,1,3.03,7.341493148,93.0,4,48.1,1,96.0,5.56,94.0,0.1,93.1661567,31786.0,2.0,2.1,0.657,10.8,Asia,False,72.348,3017938,1.159732241,7.17937517,1236.331467,11.66195996,4045.110743,4.575217225,2.728372214,0.075393764,96.07533883,15.1,0.16786
